"ADD TO
ESTIMATE";INSTANCE;CORE;RAM;"TEMPORARY
STORAGE";PAY AS YOU GO;"ONE YEAR RESERVED
(% SAVINGS)";"THREE YEAR RESERVED
(% SAVINGS)";vCPU;"ACTIVE vCPU /
UNDERLYING vCPU";GPU;Central US;East US;East US 2;North Central US;South Central US;West Central US;West US;West US 2;North Europe;West Europe;East Asia;Southeast Asia;Japan East;Japan West;Brazil South;Australia Central;Australia Central 2;Australia East;Australia Southeast;Central India;South India;West India;Canada Central;Canada East;Germany Central;Germany Northeast;UK South;UK West;France Central;France South;Korea Central;Korea South;US DoD Central;US DoD East;US Gov Arizona;US Gov Iowa;US Gov Texas;US Gov Virginia
;NC24r v3;24;448.00 GiB;1,344 GiB;4X V100;N/A;N/A;N/A;;;;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100
;NV6;6;56.00 GiB;340 GiB;1X M60;N/A;N/A;N/A;;;;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60
;NV12;12;112.00 GiB;680 GiB;2X M60;N/A;N/A;N/A;;;;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60
;NV24;24;224.00 GiB;1,440 GiB;4X M60;N/A;N/A;N/A;;;;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60
;NV6s v2;6;112.00 GiB;736 GiB;1X M60;N/A;– –;– –;;;;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60;1X M60
;NV12s v2;12;224.00 GiB;1,474 GiB;2X M60;N/A;– –;– –;;;;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60;2X M60
;NV24s v2;24;448.00 GiB;2,948 GiB;4X M60;N/A;– –;– –;;;;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60;4X M60
;ND6;6;112.00 GiB;336 GiB;1X P40;N/A;N/A;N/A;;;;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40;1X P40
;ND12;12;224.00 GiB;672 GiB;2X P40;N/A;N/A;N/A;;;;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40;2X P40
;ND24;24;448.00 GiB;1,344 GiB;4X P40;N/A;N/A;N/A;;;;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40
;ND24r;24;448.00 GiB;1,344 GiB;4X P40;N/A;N/A;N/A;;;;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40;4X P40
;H8;8;56.00 GiB;1,000 GiB;N/A;N/A;N/A;;;;;$0.904/hour;N/A;$0.904/hour;$0.875/hour;N/A;$0.971/hour;$0.796/hour;$0.971/hour;$1.032/hour;N/A;$0.925/hour;$1.145/hour;N/A;N/A;N/A;N/A;$1.185/hour;N/A;$0.998/hour;N/A;N/A;N/A;N/A;N/A;N/A;$0.952/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$0.994/hour;N/A;N/A;N/A
;H16;16;112.00 GiB;2,000 GiB;N/A;N/A;N/A;;;;;$1.807/hour;N/A;$1.808/hour;$1.749/hour;N/A;$1.941/hour;$1.591/hour;$1.941/hour;$2.065/hour;N/A;$1.848/hour;$2.291/hour;N/A;N/A;N/A;N/A;$2.369/hour;N/A;$1.995/hour;N/A;N/A;N/A;N/A;N/A;N/A;$1.902/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$1.989/hour;N/A;N/A;N/A
;H8m;8;112.00 GiB;1,000 GiB;N/A;N/A;N/A;;;;;$1.211/hour;N/A;$1.211/hour;$1.172/hour;N/A;$1.301/hour;$1.066/hour;$1.301/hour;$1.383/hour;N/A;$1.238/hour;$1.535/hour;N/A;N/A;N/A;N/A;$1.587/hour;N/A;$1.337/hour;N/A;N/A;N/A;N/A;N/A;N/A;$1.274/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$1.333/hour;N/A;N/A;N/A
;H16m;16;224.00 GiB;2,000 GiB;N/A;N/A;N/A;;;;;$2.422/hour;N/A;$2.423/hour;$2.343/hour;N/A;$2.601/hour;$2.132/hour;$2.601/hour;$2.767/hour;N/A;$2.476/hour;$3.07/hour;N/A;N/A;N/A;N/A;$3.175/hour;N/A;$2.674/hour;N/A;N/A;N/A;N/A;N/A;N/A;$2.549/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$2.665/hour;N/A;N/A;N/A
;H16mr;16;224.00 GiB;2,000 GiB;N/A;N/A;N/A;;;;;$2.664/hour;N/A;$2.665/hour;$2.577/hour;N/A;$2.861/hour;$2.345/hour;$2.861/hour;$3.043/hour;N/A;$2.724/hour;$3.377/hour;N/A;N/A;N/A;N/A;$3.492/hour;N/A;$2.941/hour;N/A;N/A;N/A;N/A;N/A;N/A;$2.803/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$2.931/hour;N/A;N/A;N/A
;H16r;16;112.00 GiB;2,000 GiB;N/A;N/A;N/A;;;;;$1.988/hour;N/A;$1.989/hour;$1.924/hour;N/A;$2.136/hour;$1.75/hour;$2.136/hour;$2.271/hour;N/A;$2.033/hour;$2.52/hour;N/A;N/A;N/A;N/A;$2.606/hour;N/A;$2.195/hour;N/A;N/A;N/A;N/A;N/A;N/A;$2.092/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$2.188/hour;N/A;N/A;N/A
